id,name_eg,name_ar,actors_name_eg,actors_name_ar,genres_name_eg,genres_name_ar,poster_url,final_rating
16,al horoub,الهروب,"Ahmed Zaki, Hala Sedqy, Mohamed Wafik, Abdelaziz Makhyoun, Abu Bakr Ezzat, Zouzou Nabil","أحمد زكي, هالة صدقي, محمد وفيق, عبدالعزيز مخيون, أبو بكر عزت, زوزو نبيل","excitement, drama, old movie, crime","اثارة, جريمة, دراما, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbUVtYm1FbWJtdkVjeG1FeHh2Y2NOam1J.jpg,3.7939399365
17,tito,تيتو,"Ahmed El Sakka, Hanan Turk, Amr Waked, Khaled Saleh, Diaa Abdulkhaliq","أحمد السقا, حنان ترك, عمرو واكد, خالد صالح, ضياء عبدالخالق","excitement, drama","اثارة, دراما",https://i.egycdn.com/pic/WmFwZndlY21tbUVtcG1tam1hY0thbW1tWW1Qd0x3.jpg,3.782816416
18,al ard,الأرض,"Mahmoud El Meleigy, Ezzat El Alaily, Nagwa Ibrahem, Yahia Shahein, Tawfik El Deken, Hamdy Ahmed","محمود المليجي, عزت العلايلي, نجوى إبراهيم, يحيى شاهين, توفيق الدقن, حمدي أحمد","drama, old movie","دراما, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbUVtdnZjdmN2UmNtYm1tbXZtWWptRExj.jpg,3.7801835225
19,nady al regal al serry,نادي الرجال السري,"Karim Abdulaziz, Ghada Adel, Maged El Kedwany, Nesreen Tafesh, Bayyumy Fouad, Ayman Uttar","كريم عبدالعزيز, غادة عادل, ماجد الكدواني, نسرين طافش, بيومي فؤاد, أيمن وتار",comedy,كوميديا,https://i.egycdn.com/pic/WmFwZndlY21MTkhjbWJ2TkVFY3Z3eHdmdGNtb3dh.jpg,3.769003721
20,mallaki eskenderiya,ملاكي إسكندرية,"Ahmed Ezz, Ghada Adel, Nour, Khaled Saleh, Mohamed Ragab, Riham Abdulghafour","أحمد عز, غادة عادل, نور اللبنانية, خالد صالح, محمد رجب, ريهام عبدالغفور","ambiguity, excitement, crime","غموض, جريمة, اثارة",https://i.egycdn.com/pic/WmFwZndlY21tbXZtdnZjbXZ2UmNjd2x4bUV3VHJORQ.jpg,3.763035688
21,zawgat ragol mohim,زوجة رجل مهم,"Ahmed Zaki, Mervat Amin, Zizi Mostafa, Ali El Gandour, Hassan Hosny, Nazim Sharawy","أحمد زكي, ميرفت أمين, زيزي مصطفى, علي الغندور, حسن حسني, نظيم شعراوي","drama, old movie","دراما, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbUVtVFlqbWpFY21tbWJtWUhOSWxQ.jpg,3.760751067
22,hepta the last lecture,هيبتا: المحاضرة الأخيرة,,,"drama, romantic","دراما, رومانسية",https://i.egycdn.com/pic/WmFwZndlY21tbW12Y21wYm1tRWNtcHZhYW16YW1qbW0.jpg,3.7583641525
23,zarf tarek,ظرف طارق,"Ahmed Helmy, Nour, Majdi Kamel, Khaled El Sawy, Mais Hamdan, Moataza Abdel Sabour","أحمد حلمي, نور اللبنانية, مجدي كامل, خالد الصاوي, ميس حمدان, معتزة عبدالصبور","comedy, romantic","كوميديا, رومانسية",https://i.egycdn.com/pic/WmFwZndlY21tbUVtRXZOdm1lY2xjTmphbXZtbXdMYw.jpg,3.7582926065
24,al nasser salah el din,الناصر صلاح الدين,"Ahmad Mazhar, Salah Zo El Faqqar, Nadia Lotfi, Hamdy Gheith, Laila Fawzy, Omar ElHariri","أحمد مظهر, صلاح ذو الفقار, نادية لطفي, حمدي غيث, ليلى فوزي, عمر الحريري","CV, History, drama, old movie","سيرة ذاتية, تاريخ, دراما, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbUVtRW1qbVRlY2N3UGFtdm1ibXZjTkk.jpg,3.749565294
25,ard el khouf,أرض الخوف,"Ahmed Zaki, Farah, Samy El Adl, Ezzat Abu Ouf, Hamdy Gheith, Abdelrahman Abo Zahra","أحمد زكي, فرح (فيدرا), سامي العدل, عزت أبو عوف, حمدي غيث, عبدالرحمن أبو زهرة","drama, excitement, crime","دراما, جريمة, اثارة",https://i.egycdn.com/pic/WmFwZndlY21tbUVtYm1UYm11Y2FtcElsbVRibWJtbQ.jpg,3.7364183815
26,sa3a we nos,ساعة ونص,"Karima Mokhtar, Youssra Al Lozy, Somaya El Khashab, Fathy Abdul Wahab, Maged El Kedwany, Tariq Abd AlAziz","كريمة مختار, يسرا اللوزي, سمية الخشاب, فتحي عبدالوهاب, ماجد الكدواني, طارق عبدالعزيز",drama,دراما,https://i.egycdn.com/pic/WmFwZndlY21tbUVtRW1Zam1qRWNtcHZ4dnRObW1qY3c.jpg,3.733823956
27,ramadan mabrouk abou el alamin hammouda,رمضان مبروك أبو العلمين حمودة,"Mohamed Henidy, Ezzat Abu Ouf, Cyrine Abdel Nour, Laila Taher, Amir El Masry, Tarek El Ebiary","محمد هنيدي, عزت أبو عوف, سيرين عبدالنور, ليلى طاهر, أمير المصري, طارق الإبياري","Familial, comedy, Music","عائلي, كوميديا, موسيقي",https://i.egycdn.com/pic/WmFwZndlY21tbUVtWWptTGNFY2NrTmdhbG1Zam1n.jpg,3.7228593705
28,here please driver ala ganb ya osta,على جنب يا أسطى,"Ashraf Abdelbaky, Asser Yassine, Arwa Gouda, Khayria Ahmed, Rojina, Shams","أشرف عبدالباقي, آسر ياسين, أروى جودة, خيرية أحمد, روجينا, شمس","drama, comedy","دراما, كوميديا",https://i.egycdn.com/pic/WmFwZndlY21tbUVtTE5FbWVjbXZQbWJ2d2FtYm1Ueg.jpg,3.71958898
29,diamond dust,تراب الماس,"Asser Yassine, Menna Shalaby, Maged El Kedwany, Mohamed Mamdouh, Eyad Nassar, Sherein Reda","آسر ياسين, منة شلبي, ماجد الكدواني, محمد ممدوح, إياد نصار, شيرين رضا","excitement, crime","اثارة, جريمة",https://i.egycdn.com/pic/WmFwZndlY21URW1tdk5qbXZtbUVjbXZhbXZ2Y3htdmFjdw.jpg,3.7158912905
30,el keif,الكيف,"Mahmoud Abdelaziz, Noura, Yehia El Fakharany, Gamil Rateb, Mohey Eldein Abdel Mohsen, Fouad Khalil","محمود عبدالعزيز, نورا, يحيى الفخراني, جميل راتب, محيي الدين عبدالمحسن, فؤاد خليل","drama, comedy, old movie","دراما, كوميديا, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbXZ2TnBtbXZFY21ibXhqdmNtTHdsbW0.jpg,3.7140062215
31,el aar,العار,"Nour El Sherif, Hussein Fahmy, Mahmoud Abdelaziz, Noura, Amina Rizq, Elham Shahein","نور الشريف, حسين فهمي, محمود عبدالعزيز, نورا, أمينة رزق, إلهام شاهين","excitement, drama, old movie","اثارة, دراما, فيلم قديم",https://i.egycdn.com/pic/WmFwZndlY21tbUVtam1FbW1takVjdk5MTmphdmNtWWo.jpg,3.7061030675
32,taymour and shafika,تيمور وشفيقة,"Ahmed El Sakka, Mona Zaki, Hala Fakher, Ragaa AlGeddawy, Muhammad Zaza, Gamil Rateb","أحمد السقا, منى زكي, هالة فاخر, رجاء الجداوي, محمد ظاظا, جميل راتب","romantic, comedy, Action","رومانسية, كوميديا, اكشن",https://i.egycdn.com/pic/WmFwZndlY21tbXZtYm1ibUV2UmNtYm1qbXZtYnhtamxtSQ.jpg,3.7039298685
33,678,678,,,drama,دراما,https://i.egycdn.com/pic/WmFwZndlY21FbVl2dmNtWXZFY3Zrd2Ftdnhtb3R3.jpg,3.703381819
